1523406921.078887|M|checking|
1523406921.080550|M|unregister internal trackpad|
1523406921.081401|M|checking|
1523406921.082268|M|register internal trackpad|
1523406921.082518|STDEV|63|
1523406926.500323|M|mt_stop2|
1523406926.500570|M|checking|
1523406926.502414|M|unregister internal trackpad|
1523406926.503295|M|checking|
1523406926.504245|M|register internal trackpad|
1523406926.504512|STDEV|63|
1523406961.163114|M|mt_stop2|
1523406961.163395|M|checking|
1523406961.164858|M|unregister internal trackpad|
1523406961.165794|M|checking|
1523406961.166676|M|register internal trackpad|
1523406961.166929|STDEV|63|
1523407171.673641|M|mt_stop2|
1523407171.673914|M|checking|
1523407171.675703|M|unregister internal trackpad|
1523407171.676303|M|checking|
1523407171.676997|M|register internal trackpad|
1523407171.677172|STDEV|63|
1523407171.772324|M|mt_stop2|
1523407171.772617|M|checking|
1523407171.774437|M|unregister internal trackpad|
1523407171.775467|M|checking|
1523407171.776483|M|register internal trackpad|
1523407171.776798|STDEV|63|
1523407173.838516|M|mt_stop2|
1523407173.838778|M|checking|
1523407173.840287|M|unregister internal trackpad|
1523407173.841107|M|checking|
1523407173.841975|M|register internal trackpad|
1523407173.842229|STDEV|63|
1523407176.986211|M|mt_stop2|
1523407176.986489|M|checking|
1523407176.988247|M|unregister internal trackpad|
1523407176.989500|M|checking|
1523407176.990962|M|register internal trackpad|
1523407176.991178|STDEV|63|
1523407182.056041|M|mt_stop2|
1523407182.056216|M|checking|
1523407182.057846|M|unregister internal trackpad|
1523407182.058318|M|checking|
1523407182.058911|M|register internal trackpad|
1523407182.059070|STDEV|63|
1523407217.173323|M|mt_stop2|
1523407217.173567|M|checking|
1523407217.175356|M|unregister internal trackpad|
1523407217.176223|M|checking|
1523407217.177120|M|register internal trackpad|
1523407217.177377|STDEV|63|
1523407427.736830|usage|loading todays usage|
1523407427.772689|ASL|[Crashlytics] Version 3.9.3 (128)|
1523407427.786030|short|init|
1523407427.786058|short|no event tap functionality used|
1523407427.844043|LIC|idate 2018-04-11 00:43:47 +0000|
1523407427.847941|short|register all hotkeys|
1523407427.859877|LIC|closing previous instance of BetterTouchTool relaunch|
1523407427.865841|short|register disable hotkeys|
1523407427.866678|short|register disable hotkeys|
1523407427.867628|short|register all hotkeys|
1523407427.871460|LAUNCH|DIDLaunch|
1523407427.948584|ASL|new multitouch device recognized|
1523407427.948861|M|checking|
1523407427.951002|short|call sharedInstance4|
1523407427.960117|M|mt_stop10|
1523407427.960315|M|checking|
1523407427.961926|M|register internal trackpad|
1523407427.962117|STDEV|63|
1523407427.962187|swi|check device class|
1523407427.962198|swi|shortcuts used|
1523407429.196780|short|eventtap success|
1523407429.199477|short|register disable hotkeys|
1523407429.200744|short|register all hotkeys for current app|
1523407429.201495|short|register all hotkeys|
1523407429.863491|short|register all hotkeys for current app|
1523407429.864901|M|mt_stop2|
1523407429.865085|M|checking|
1523407429.866364|M|unregister internal trackpad|
1523407429.866966|M|checking|
1523407429.867566|M|register internal trackpad|
1523407429.867759|STDEV|63|
1523407429.872519|ASL|[Crashlytics:Crash] Warning: NSApplicationCrashOnExceptions is not set. This will result in poor top-level uncaught exception reporting.|
1523407429.873673|M|checking|
1523407429.873991|ASL|disabling touch for internal trackpad (clamshell)|
1523407429.875545|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(lizzy) port(56900)|
1523407431.062251|short|register all hotkeys for current app|
1523407473.200801|M|mt_stop2|
1523407473.201045|M|checking|
1523407473.202874|M|unregister internal trackpad|
1523407473.203858|M|checking|
1523407473.205029|M|register internal trackpad|
1523407473.205254|STDEV|63|
1523407682.613939|usage|loading todays usage|
1523407682.650654|ASL|[Crashlytics] Version 3.9.3 (128)|
1523407682.663715|short|init|
1523407682.663751|short|no event tap functionality used|
1523407682.715843|LIC|idate 2018-04-11 00:48:02 +0000|
1523407682.719655|short|register all hotkeys|
1523407682.731592|LIC|closing previous instance of BetterTouchTool relaunch|
1523407682.741591|short|register disable hotkeys|
1523407682.742932|short|register disable hotkeys|
1523407682.744231|short|register all hotkeys|
1523407682.748398|LAUNCH|DIDLaunch|
1523407682.796129|ASL|new multitouch device recognized|
1523407682.796399|M|checking|
1523407682.799204|short|call sharedInstance4|
1523407682.812365|M|mt_stop10|
1523407682.812575|M|checking|
